id_muestra,titulo,anio_estreno,generos,pais_principal,idioma,popularidad,promedio_votos,votos
10192,Shrek Forever After,2010,Comedia,Estados Unidos,Ingles,203.893,6.38,7449
10192,Shrek Forever After,2010,Aventura,Estados Unidos,Ingles,203.893,6.38,7449
10192,Shrek Forever After,2010,Fantasia,Estados Unidos,Ingles,203.893,6.38,7449
10192,Shrek Forever After,2010,Animacion,Estados Unidos,Ingles,203.893,6.38,7449
10192,Shrek Forever After,2010,Familia,Estados Unidos,Ingles,203.893,6.38,7449
27205,Inception,2010,Accion,Reino Unido,Ingles,156.242,8.369,37119
27205,Inception,2010,Ciencia Ficcion,Reino Unido,Ingles,156.242,8.369,37119
27205,Inception,2010,Aventura,Reino Unido,Ingles,156.242,8.369,37119
12444,Harry Potter and the Deathly Hallows: Part 1,2010,Aventura,Reino Unido,Ingles,121.191,7.744,19327
12444,Harry Potter and the Deathly Hallows: Part 1,2010,Fantasia,Reino Unido,Ingles,121.191,7.744,19327
38757,Tangled,2010,Animacion,Estados Unidos,Ingles,111.762,7.6,11638
38757,Tangled,2010,Familia,Estados Unidos,Ingles,111.762,7.6,11638
38757,Tangled,2010,Aventura,Estados Unidos,Ingles,111.762,7.6,11638
10191,How to Train Your Dragon,2010,Fantasia,Estados Unidos,Ingles,110.044,7.8,13259
10191,How to Train Your Dragon,2010,Aventura,Estados Unidos,Ingles,110.044,7.8,13259
10191,How to Train Your Dragon,2010,Animacion,Estados Unidos,Ingles,110.044,7.8,13259
10191,How to Train Your Dragon,2010,Familia,Estados Unidos,Ingles,110.044,7.8,13259
11324,Shutter Island,2010,Drama,Estados Unidos,Ingles,101.551,8.2,24282
11324,Shutter Island,2010,Suspenso,Estados Unidos,Ingles,101.551,8.2,24282
11324,Shutter Island,2010,Misterio,Estados Unidos,Ingles,101.551,8.2,24282
38575,The Karate Kid,2010,Accion,China,Ingles,96.385,6.5,6082
38575,The Karate Kid,2010,Aventura,China,Ingles,96.385,6.5,6082
38575,The Karate Kid,2010,Drama,China,Ingles,96.385,6.5,6082
38575,The Karate Kid,2010,Familia,China,Ingles,96.385,6.5,6082
10138,Iron Man 2,2010,Aventura,Estados Unidos,Ingles,95.255,6.8,21222
10138,Iron Man 2,2010,Accion,Estados Unidos,Ingles,95.255,6.8,21222
10138,Iron Man 2,2010,Ciencia Ficcion,Estados Unidos,Ingles,95.255,6.8,21222
38365,Grown Ups,2010,Comedia,Estados Unidos,Ingles,93.281,6.394,6212
48650,Room in Rome,2010,Drama,Francia,Espanol,90.23,6.416,748
48650,Room in Rome,2010,Romance,Francia,Espanol,90.23,6.416,748
20352,Despicable Me,2010,Animacion,Estados Unidos,Ingles,86.361,7.2,15258
20352,Despicable Me,2010,Familia,Estados Unidos,Ingles,86.361,7.2,15258
20352,Despicable Me,2010,Comedia,Estados Unidos,Ingles,86.361,7.2,15258
10193,Toy Story 3,2010,Animacion,Estados Unidos,Ingles,83.097,7.8,14847
10193,Toy Story 3,2010,Familia,Estados Unidos,Ingles,83.097,7.8,14847
10193,Toy Story 3,2010,Comedia,Estados Unidos,Ingles,83.097,7.8,14847
24021,The Twilight Saga: Eclipse,2010,Aventura,Estados Unidos,Ingles,81.8,6.204,8829
24021,The Twilight Saga: Eclipse,2010,Fantasia,Estados Unidos,Ingles,81.8,6.204,8829
24021,The Twilight Saga: Eclipse,2010,Drama,Estados Unidos,Ingles,81.8,6.204,8829
24021,The Twilight Saga: Eclipse,2010,Romance,Estados Unidos,Ingles,81.8,6.204,8829
12155,Alice in Wonderland,2010,Familia,Estados Unidos,Ingles,80.326,6.6,14114
12155,Alice in Wonderland,2010,Fantasia,Estados Unidos,Ingles,80.326,6.6,14114
12155,Alice in Wonderland,2010,Aventura,Estados Unidos,Ingles,80.326,6.6,14114
73861,A Serbian Film,2010,Crimen,Serbia,Serbio,74.238,5.471,2018
73861,A Serbian Film,2010,Terror,Serbia,Serbio,74.238,5.471,2018
73861,A Serbian Film,2010,Suspenso,Serbia,Serbio,74.238,5.471,2018
38234,Undisputed III: Redemption,2010,Accion,Estados Unidos,Ingles,71.837,7.517,925
38234,Undisputed III: Redemption,2010,Suspenso,Estados Unidos,Ingles,71.837,7.517,925
38234,Undisputed III: Redemption,2010,Crimen,Estados Unidos,Ingles,71.837,7.517,925
38234,Undisputed III: Redemption,2010,Drama,Estados Unidos,Ingles,71.837,7.517,925
37799,The Social Network,2010,Drama,Estados Unidos,Ingles,69.048,7.368,12285
61979,Three Steps Above Heaven,2010,Romance,Espana,Espanol,66.968,7.7,3095
61979,Three Steps Above Heaven,2010,Drama,Espana,Espanol,66.968,7.7,3095
32657,Percy Jackson & the Olympians: The Lightning Thief,2010,Aventura,Estados Unidos,Ingles,64.865,6.21,7519
32657,Percy Jackson & the Olympians: The Lightning Thief,2010,Fantasia,Estados Unidos,Ingles,64.865,6.21,7519
32657,Percy Jackson & the Olympians: The Lightning Thief,2010,Familia,Estados Unidos,Ingles,64.865,6.21,7519
23168,The Town,2010,Crimen,Reino Unido,Ingles,58.865,7.2,5117
23168,The Town,2010,Drama,Reino Unido,Ingles,58.865,7.2,5117
23168,The Town,2010,Suspenso,Reino Unido,Ingles,58.865,7.2,5117
34851,Predators,2010,Ciencia Ficcion,Estados Unidos,Ingles,58.518,6.3,4194
34851,Predators,2010,Accion,Estados Unidos,Ingles,58.518,6.3,4194
34851,Predators,2010,Suspenso,Estados Unidos,Ingles,58.518,6.3,4194
38055,Megamind,2010,Animacion,Estados Unidos,Ingles,58.422,6.999,6944
38055,Megamind,2010,Accion,Estados Unidos,Ingles,58.422,6.999,6944
38055,Megamind,2010,Comedia,Estados Unidos,Ingles,58.422,6.999,6944
38055,Megamind,2010,Familia,Estados Unidos,Ingles,58.422,6.999,6944
38055,Megamind,2010,Ciencia Ficcion,Estados Unidos,Ingles,58.422,6.999,6944
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Aventura,Reino Unido,Ingles,53.64,6.4,5621
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Familia,Reino Unido,Ingles,53.64,6.4,5621
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,Fantasia,Reino Unido,Ingles,53.64,6.4,5621
27578,The Expendables,2010,Suspenso,Bulgaria,Ingles,53.249,6.248,7827
27578,The Expendables,2010,Aventura,Bulgaria,Ingles,53.249,6.248,7827
27578,The Expendables,2010,Accion,Bulgaria,Ingles,53.249,6.248,7827
18823,Clash of the Titans,2010,Aventura,Estados Unidos,Ingles,51.888,5.9,6308
18823,Clash of the Titans,2010,Fantasia,Estados Unidos,Ingles,51.888,5.9,6308
18823,Clash of the Titans,2010,Accion,Estados Unidos,Ingles,51.888,5.9,6308
44214,Black Swan,2010,Drama,Estados Unidos,Ingles,45.984,7.7,14650
44214,Black Swan,2010,Suspenso,Estados Unidos,Ingles,45.984,7.7,14650
44214,Black Swan,2010,Terror,Estados Unidos,Ingles,45.984,7.7,14650
23483,Kick-Ass,2010,Accion,Reino Unido,Ingles,45.668,7.122,11730
23483,Kick-Ass,2010,Crimen,Reino Unido,Ingles,45.668,7.122,11730
20526,TRON: Legacy,2010,Aventura,Estados Unidos,Ingles,44.783,6.5,7236
20526,TRON: Legacy,2010,Accion,Estados Unidos,Ingles,44.783,6.5,7236
20526,TRON: Legacy,2010,Ciencia Ficcion,Estados Unidos,Ingles,44.783,6.5,7236
52629,El Infierno,2010,Accion,Mexico,Espanol,43.812,7.9,691
52629,El Infierno,2010,Crimen,Mexico,Espanol,43.812,7.9,691
52629,El Infierno,2010,Western,Mexico,Espanol,43.812,7.9,691
52629,El Infierno,2010,Comedia,Mexico,Espanol,43.812,7.9,691
52629,El Infierno,2010,Drama,Mexico,Espanol,43.812,7.9,691
26389,From Paris with Love,2010,Accion,Reino Unido,Ingles,43.037,6.27,2043
26389,From Paris with Love,2010,Crimen,Reino Unido,Ingles,43.037,6.27,2043
26389,From Paris with Love,2010,Suspenso,Reino Unido,Ingles,43.037,6.27,2043
10196,The Last Airbender,2010,Accion,Estados Unidos,Ingles,42.597,4.6,4004
10196,The Last Airbender,2010,Aventura,Estados Unidos,Ingles,42.597,4.6,4004
10196,The Last Airbender,2010,Fantasia,Estados Unidos,Ingles,42.597,4.6,4004
27581,The Other Guys,2010,Accion,Estados Unidos,Ingles,40.669,6.3,4234
27581,The Other Guys,2010,Comedia,Estados Unidos,Ingles,40.669,6.3,4234
27581,The Other Guys,2010,Crimen,Estados Unidos,Ingles,40.669,6.3,4234
27581,The Other Guys,2010,Suspenso,Estados Unidos,Ingles,40.669,6.3,4234
47931,Elite Squad: The Enemy Within,2010,Drama,Brasil,Portugues,40.66,7.811,1879
47931,Elite Squad: The Enemy Within,2010,Accion,Brasil,Portugues,40.66,7.811,1879
47931,Elite Squad: The Enemy Within,2010,Crimen,Brasil,Portugues,40.66,7.811,1879
9543,Prince of Persia: The Sands of Time,2010,Aventura,Estados Unidos,Ingles,39.509,6.3,6807
9543,Prince of Persia: The Sands of Time,2010,Fantasia,Estados Unidos,Ingles,39.509,6.3,6807
9543,Prince of Persia: The Sands of Time,2010,Accion,Estados Unidos,Ingles,39.509,6.3,6807
22538,Scott Pilgrim vs. the World,2010,Accion,Japon,Ingles,39.321,7.491,7985
22538,Scott Pilgrim vs. the World,2010,Comedia,Japon,Ingles,39.321,7.491,7985
22538,Scott Pilgrim vs. the World,2010,Romance,Japon,Ingles,39.321,7.491,7985
