id_muestra,titulo,anio_estreno,generos,pais_principal,idioma,popularidad,promedio_votos,votos
33238,Running Man,2010,Comedia,Corea del Sur,Coreano,1929.898,8.241,187
33238,Running Man,2010,Reality,Corea del Sur,Coreano,1929.898,8.241,187
32415,Conan,2010,Charla,Estados Unidos,Ingles,1670.58,7.035,229
32415,Conan,2010,Comedia,Estados Unidos,Ingles,1670.58,7.035,229
32415,Conan,2010,Noticias,Estados Unidos,Ingles,1670.58,7.035,229
37757,MasterChef Greece,2010,Reality,Grecia,Griego,1317.092,5.6,6
75685,Prostreno!,2010,Reality,Republica Checa,Checo,1095.776,6.5,6
33847,The Talk,2010,Charla,Estados Unidos,Ingles,712.07,3.4,12
250253,Euphrosyne,2010,Drama,Sin informacion,Ruso,629.982,0.0,0
250253,Euphrosyne,2010,Soap,Sin informacion,Ruso,629.982,0.0,0
32798,Hawaii Five-0,2010,Crimen,Estados Unidos,Ingles,616.862,7.8,1750
32798,Hawaii Five-0,2010,Drama,Estados Unidos,Ingles,616.862,7.8,1750
32798,Hawaii Five-0,2010,Action & Adventure,Estados Unidos,Ingles,616.862,7.8,1750
1402,The Walking Dead,2010,Action & Adventure,Estados Unidos,Ingles,485.66,8.103,16790
1402,The Walking Dead,2010,Drama,Estados Unidos,Ingles,485.66,8.103,16790
1402,The Walking Dead,2010,Sci-Fi & Fantasy,Estados Unidos,Ingles,485.66,8.103,16790
33384,Zone,2010,Sin informacion,Estados Unidos,Ingles,489.739,0.0,0
31132,Regular Show,2010,Animacion,Estados Unidos,Ingles,426.107,8.621,2045
31132,Regular Show,2010,Comedia,Estados Unidos,Ingles,426.107,8.621,2045
64488,Atomes crochus,2010,Sin informacion,Canada,Frances,463.962,0.0,0
58581,Antiques Road Trip,2010,Documental,Reino Unido,Ingles,581.634,5.0,8
73870,Genial!,2010,Familia,Canada,Frances,413.464,2.9,12
73870,Genial!,2010,Charla,Canada,Frances,413.464,2.9,12
51038,Natholdet,2010,Comedia,Dinamarca,Danes,401.061,6.0,4
51038,Natholdet,2010,Charla,Dinamarca,Danes,401.061,6.0,4
33581,Pyaar Kii Ye Ek Kahaani,2010,Misterio,India,Hindi,406.769,10.0,1
33581,Pyaar Kii Ye Ek Kahaani,2010,Drama,India,Hindi,406.769,10.0,1
33581,Pyaar Kii Ye Ek Kahaani,2010,Soap,India,Hindi,406.769,10.0,1
31917,Pretty Little Liars,2010,Drama,Estados Unidos,Ingles,389.58,8.0,2637
31917,Pretty Little Liars,2010,Misterio,Estados Unidos,Ingles,389.58,8.0,2637
32692,Blue Bloods,2010,Crimen,Estados Unidos,Ingles,361.43,7.8,906
32692,Blue Bloods,2010,Drama,Estados Unidos,Ingles,361.43,7.8,906
32390,The Real Housewives of Beverly Hills,2010,Reality,Estados Unidos,Ingles,514.676,6.3,95
32651,Interns,2010,Comedia,Rusia,Ruso,336.57,7.0,103
46296,Spartacus,2010,Drama,Estados Unidos,Ingles,324.023,8.014,2585
124864,A Masterpiece in 100 Minutes,2010,Charla,Japon,Japones,338.901,0.0,0
124864,A Masterpiece in 100 Minutes,2010,Documental,Japon,Japones,338.901,0.0,0
31991,WWE NXT,2010,Action & Adventure,Estados Unidos,Ingles,442.742,6.8,114
31991,WWE NXT,2010,Drama,Estados Unidos,Ingles,442.742,6.8,114
214252,All My Love For You,2010,Comedia,Corea del Sur,Coreano,314.291,0.0,0
66774,Epic Rap Battles of History,2010,Comedia,Estados Unidos,Ingles,338.596,7.319,36
35331,Good Game: Spawn Point,2010,Infantil,Sin informacion,Ingles,435.509,5.0,1
35331,Good Game: Spawn Point,2010,Noticias,Sin informacion,Ingles,435.509,5.0,1
61308,Les Enfants de la tele,2010,Charla,Canada,Frances,328.765,6.5,1
15260,Adventure Time,2010,Animacion,Estados Unidos,Ingles,302.054,8.5,2826
15260,Adventure Time,2010,Comedia,Estados Unidos,Ingles,302.054,8.5,2826
15260,Adventure Time,2010,Sci-Fi & Fantasy,Estados Unidos,Ingles,302.054,8.5,2826
46182,Ti Ti Ti,2010,Soap,Brasil,Portugues,278.459,7.4,17
209068,Ella,2010,Soap,Belgica,Holandes,281.763,1.0,1
155256,Happy Toon,2010,Animacion,China,Chino,264.317,7.8,5
155256,Happy Toon,2010,Infantil,China,Chino,264.317,7.8,5
155256,Happy Toon,2010,Comedia,China,Chino,264.317,7.8,5
155256,Happy Toon,2010,Sci-Fi & Fantasy,China,Chino,264.317,7.8,5
155256,Happy Toon,2010,Action & Adventure,China,Chino,264.317,7.8,5
42042,Kaeloo,2010,Animacion,Francia,Frances,259.428,8.5,4
42042,Kaeloo,2010,Familia,Francia,Frances,259.428,8.5,4
42042,Kaeloo,2010,Infantil,Francia,Frances,259.428,8.5,4
42042,Kaeloo,2010,Comedia,Francia,Frances,259.428,8.5,4
83896,Tempos Modernos,2010,Soap,Brasil,Portugues,254.477,6.5,3
83896,Tempos Modernos,2010,Drama,Brasil,Portugues,254.477,6.5,3
83896,Tempos Modernos,2010,Familia,Brasil,Portugues,254.477,6.5,3
84548,Peter Hahne,2010,Charla,Alemania,Aleman,252.021,0.0,0
50829,Cesty domu,2010,Soap,Republica Checa,Checo,251.964,6.5,2
50829,Cesty domu,2010,Drama,Republica Checa,Checo,251.964,6.5,2
94226,Geet Hui Sabse Parayi,2010,Sin informacion,India,Hindi,348.468,10.0,1
33765,My Little Pony: Friendship Is Magic,2010,Animacion,Canada,Ingles,227.511,8.1,657
33765,My Little Pony: Friendship Is Magic,2010,Comedia,Canada,Ingles,227.511,8.1,657
33765,My Little Pony: Friendship Is Magic,2010,Sci-Fi & Fantasy,Canada,Ingles,227.511,8.1,657
33765,My Little Pony: Friendship Is Magic,2010,Infantil,Canada,Ingles,227.511,8.1,657
46222,My Husband is a Cartoonist,2010,Drama,Japon,Japones,245.846,8.4,7
32778,Timeless Love,2010,Drama,Mexico,Espanol,266.749,7.5,286
60006,Hello Counselor,2010,Reality,Corea del Sur,Coreano,260.873,8.3,3
15842,El Clon,2010,Drama,Brasil,Espanol,233.048,7.812,552
18059,Rubi,2010,Drama,Filipinas,tl,222.934,0.0,0
229586,Word to a Woman,2010,Drama,Sin informacion,Ruso,240.249,0.0,0
45817,Passione,2010,Soap,Brasil,Portugues,214.841,6.5,13
52698,El Kebeer Awi,2010,Comedia,Egipto,Arabigo,208.398,6.9,46
52698,El Kebeer Awi,2010,Familia,Egipto,Arabigo,208.398,6.9,46
52698,El Kebeer Awi,2010,Drama,Egipto,Arabigo,208.398,6.9,46
33761,Triumph of Love,2010,Soap,Mexico,Espanol,275.596,7.7,459
94502,Chepe Fortuna,2010,Soap,Sin informacion,Espanol,187.223,6.4,11
94502,Chepe Fortuna,2010,Comedia,Sin informacion,Espanol,187.223,6.4,11
94502,Chepe Fortuna,2010,Drama,Sin informacion,Espanol,187.223,6.4,11
33907,Downton Abbey,2010,Drama,Reino Unido,Ingles,218.91,8.1,1036
30745,My Kitchen Rules,2010,Reality,Australia,Ingles,252.256,5.4,19
46571,Daring Women,2010,Sin informacion,Corea del Sur,Coreano,184.227,3.0,1
199332,Only You,2010,Reality,China,Chino,191.646,0.0,0
52880,Scarlet Letter,2010,Drama,Sin informacion,Coreano,182.038,0.0,0
93686,Cesko Slovensko ma talent,2010,Reality,Republica Checa,Checo,199.226,7.7,3
33955,Pound Puppies,2010,Animacion,Estados Unidos,Ingles,176.291,5.2,10
32348,A League of Their Own,2010,Comedia,Sin informacion,Ingles,185.206,6.9,12
85796,Ca finit bien la semaine,2010,Charla,Canada,Frances,243.881,0.0,0
32864,Dinner Date,2010,Sin informacion,Reino Unido,Ingles,170.698,5.5,2
83893,KBS Drama Special,2010,Drama,Corea del Sur,Coreano,170.691,7.4,5
66219,The Daltons,2010,Animacion,Francia,Frances,172.192,7.0,13
66219,The Daltons,2010,Infantil,Francia,Frances,172.192,7.0,13
66219,The Daltons,2010,Comedia,Francia,Frances,172.192,7.0,13
34035,Aurora,2010,Misterio,Estados Unidos,Espanol,159.659,7.3,103
34035,Aurora,2010,Soap,Estados Unidos,Espanol,159.659,7.3,103
34035,Aurora,2010,Drama,Estados Unidos,Espanol,159.659,7.3,103
34035,Aurora,2010,Crimen,Estados Unidos,Espanol,159.659,7.3,103
51497,Under the Clouds,2010,Sin informacion,Sin informacion,et,168.635,10.0,2
38409,RuPaul's Drag Race: Untucked,2010,Reality,Estados Unidos,Ingles,168.191,6.2,47
34284,The Only Way Is Essex,2010,Reality,Reino Unido,Ingles,180.851,4.0,20
37811,Het Huis Anubis en de Vijf van het Magische Zwaard,2010,Infantil,Belgica,Holandes,164.762,3.0,1
37811,Het Huis Anubis en de Vijf van het Magische Zwaard,2010,Misterio,Belgica,Holandes,164.762,3.0,1
37811,Het Huis Anubis en de Vijf van het Magische Zwaard,2010,Action & Adventure,Belgica,Holandes,164.762,3.0,1
33018,Noah,2010,Sci-Fi & Fantasy,Filipinas,tl,156.415,0.0,0
33018,Noah,2010,Drama,Filipinas,tl,156.415,0.0,0
33018,Noah,2010,Action & Adventure,Filipinas,tl,156.415,0.0,0
18604,Three Kingdoms,2010,Drama,China,Chino,161.322,7.8,23
34634,Gold Rush,2010,Reality,Reino Unido,Ingles,169.395,7.0,157
19885,Sherlock,2010,Crimen,Reino Unido,Ingles,155.869,8.514,5630
19885,Sherlock,2010,Drama,Reino Unido,Ingles,155.869,8.514,5630
19885,Sherlock,2010,Misterio,Reino Unido,Ingles,155.869,8.514,5630
61302,Un souper presque parfait,2010,Reality,Canada,Frances,190.934,4.8,2
34045,Sister Wives,2010,Reality,Estados Unidos,Ingles,161.937,6.2,49
34045,Sister Wives,2010,Drama,Estados Unidos,Ingles,161.937,6.2,49
34045,Sister Wives,2010,Familia,Estados Unidos,Ingles,161.937,6.2,49
33217,Young Justice,2010,Animacion,Estados Unidos,Ingles,148.156,8.4,1123
